AGT_CHANNEL,AGT_STATUS,AGT_CD
BANCA,INFORCE,227
AGENCY,INFORCE,228
AGENCY,INFORCE,229
AGENCY,INFORCE,230
AGENCY,INFORCE,231
AGENCY,INFORCE,232
AGENCY,INFORCE,233
AGENCY,TERMINATED,234
AGENCY,INFORCE,235
BANCA,INFORCE,236
AGENCY,INFORCE,237
AGENCY,INFORCE,238
AGENCY,TERMINATED,239
AGENCY,INFORCE,240
IFA,INFORCE,241
AGENCY,INFORCE,242
AGENCY,INFORCE,243
AGENCY,INFORCE,244
AGENCY,INFORCE,245
AGENCY,INFORCE,246
AGENCY,INFORCE,247
AGENCY,INFORCE,248
AGENCY,TERMINATED,249
AGENCY,TERMINATED,250
AGENCY,INFORCE,251
AGENCY,INFORCE,252
AGENCY,INFORCE,253
AGENCY,TERMINATED,254
AGENCY,INFORCE,255
AGENCY,INFORCE,256
AGENCY,INFORCE,257
AGENCY,INFORCE,258
AGENCY,INFORCE,259
AGENCY,INFORCE,260
AGENCY,INFORCE,261
AGENCY,INFORCE,262
AGENCY,SUSPENDED,263
AGENCY,INFORCE,264
IFA,INFORCE,265
AGENCY,INFORCE,266
AGENCY,INFORCE,267
AGENCY,TERMINATED,268
AGENCY,SUSPENDED,269
AGENCY,INFORCE,270
AGENCY,INFORCE,271
BANCA,INFORCE,272
AGENCY,INFORCE,273
AGENCY,TERMINATED,274
AGENCY,INFORCE,275
BANCA,INFORCE,276
AGENCY,INFORCE,277
AGENCY,INFORCE,278
AGENCY,INFORCE,279
AGENCY,INFORCE,280
AGENCY,INFORCE,281
AGENCY,INFORCE,282
AGENCY,INFORCE,283
AGENCY,INFORCE,284
AGENCY,INFORCE,285
AGENCY,INFORCE,286
AGENCY,INFORCE,287
AGENCY,INFORCE,288
AGENCY,TERMINATED,289
AGENCY,INFORCE,290
AGENCY,TERMINATED,291
AGENCY,TERMINATED,292
AGENCY,INFORCE,293
AGENCY,INFORCE,294
AGENCY,INFORCE,295
AGENCY,INFORCE,296
AGENCY,TERMINATED,297
AGENCY,TERMINATED,298
AGENCY,INFORCE,299
AGENCY,TERMINATED,300
AGENCY,INFORCE,301
AGENCY,TERMINATED,302
AGENCY,INFORCE,303
BANCA,INFORCE,304
BANCA,INFORCE,305
AGENCY,INFORCE,306
AGENCY,INFORCE,307
AGENCY,INFORCE,308
AGENCY,INFORCE,309
AGENCY,TERMINATED,310
IFA,INFORCE,311
AGENCY,INFORCE,312
AGENCY,INFORCE,313
AGENCY,INFORCE,314
BANCA,INFORCE,315
AGENCY,INFORCE,316
AGENCY,INFORCE,317
AGENCY,INFORCE,318
AGENCY,INFORCE,319
AGENCY,INFORCE,320
AGENCY,INFORCE,321
AGENCY,INFORCE,322
AGENCY,TERMINATED,323
AGENCY,TERMINATED,324
AGENCY,INFORCE,325
AGENCY,INFORCE,326
AGENCY,TERMINATED,327
AGENCY,INFORCE,328
AGENCY,INFORCE,329
AGENCY,TERMINATED,330
BANCA,INFORCE,331
AGENCY,INFORCE,332
AGENCY,INFORCE,333
AGENCY,INFORCE,334
AGENCY,INFORCE,335
AGENCY,INFORCE,336
AGENCY,INFORCE,337
AGENCY,INFORCE,338
AGENCY,TERMINATED,339
AGENCY,TERMINATED,340
AGENCY,INFORCE,341
AGENCY,INFORCE,342
AGENCY,INFORCE,343
AGENCY,INFORCE,344
AGENCY,TERMINATED,345
AGENCY,TERMINATED,346
BANCA,INFORCE,347
BANCA,INFORCE,348
AGENCY,TERMINATED,349
BANCA,INFORCE,350
AGENCY,INFORCE,351
AGENCY,TERMINATED,352
AGENCY,INFORCE,353
AGENCY,TERMINATED,354
AGENCY,INFORCE,355
AGENCY,TERMINATED,356
AGENCY,INFORCE,357
AGENCY,INFORCE,358
AGENCY,INFORCE,359
AGENCY,INFORCE,360
AGENCY,INFORCE,361
AGENCY,TERMINATED,362
AGENCY,TERMINATED,363
AGENCY,INFORCE,364
AGENCY,INFORCE,365
AGENCY,INFORCE,366
AGENCY,INFORCE,367
AGENCY,INFORCE,368
AGENCY,INFORCE,369
AGENCY,TERMINATED,370
AGENCY,INFORCE,371
AGENCY,INFORCE,372
BANCA,INFORCE,373
AGENCY,TERMINATED,374
AGENCY,INFORCE,375
AGENCY,INFORCE,376
AGENCY,INFORCE,377
BANCA,INFORCE,378
AGENCY,INFORCE,379
AGENCY,INFORCE,380
AGENCY,INFORCE,381
AGENCY,INFORCE,382
AGENCY,TERMINATED,383
IFA,INFORCE,384
AGENCY,INFORCE,385
AGENCY,INFORCE,386
AGENCY,INFORCE,387
AGENCY,INFORCE,388
AGENCY,TERMINATED,389
AGENCY,TERMINATED,390
AGENCY,TERMINATED,391
AGENCY,INFORCE,392
AGENCY,INFORCE,393
AGENCY,INFORCE,394
AGENCY,INFORCE,395
AGENCY,INFORCE,396
AGENCY,INFORCE,397
AGENCY,INFORCE,398
AGENCY,INFORCE,399
AGENCY,INFORCE,400
AGENCY,INFORCE,401
AGENCY,INFORCE,402
AGENCY,INFORCE,403
AGENCY,INFORCE,404
AGENCY,INFORCE,405
AGENCY,INFORCE,406
AGENCY,TERMINATED,407
AGENCY,INFORCE,408
AGENCY,INFORCE,409
AGENCY,INFORCE,410
AGENCY,TERMINATED,411
BANCA,INFORCE,412
BANCA,INFORCE,413
AGENCY,TERMINATED,414
AGENCY,INFORCE,415
AGENCY,INFORCE,416
AGENCY,INFORCE,417
AGENCY,INFORCE,418
AGENCY,INFORCE,419
AGENCY,TERMINATED,420
AGENCY,TERMINATED,421
AGENCY,TERMINATED,422
AGENCY,INFORCE,423
AGENCY,INFORCE,424
AGENCY,INFORCE,425
AGENCY,INFORCE,426
AGENCY,INFORCE,427
AGENCY,INFORCE,428
AGENCY,INFORCE,429
AGENCY,INFORCE,430
AGENCY,INFORCE,431
AGENCY,INFORCE,432
AGENCY,INFORCE,433
